Municipality,Node_Count,Domain_Diversity,Blind_Raw,Blind_Score_0_100
Añasco,1,1,1.0,100.00000000000001
Rincon Municipio,1,1,1.0,100.00000000000001
Peñuelas,1,1,1.0,100.00000000000001
Cayey,1,1,1.0,100.00000000000001
Adjuntas,1,1,1.0,100.00000000000001
Naranjito,1,1,1.0,100.00000000000001
9908.1809428,1,1,1.0,100.00000000000001
Ceiba,1,1,1.0,100.00000000000001
Naguabo,1,1,1.0,100.00000000000001
Morovis,1,1,1.0,100.00000000000001
Ciales,1,1,1.0,100.00000000000001
Maunabo,1,1,1.0,100.00000000000001
Coamo,1,1,1.0,100.00000000000001
Comerío,1,1,1.0,100.00000000000001
Luquillo,1,1,1.0,100.00000000000001
Loíza,1,1,1.0,100.00000000000001
Barranquitas,1,1,1.0,100.00000000000001
Culebra,1,1,1.0,100.00000000000001
Dorado,1,1,1.0,100.00000000000001
Lajas,1,1,1.0,100.00000000000001
Juncos,1,1,1.0,100.00000000000001
Hatillo,1,1,1.0,100.00000000000001
Guánica,1,1,1.0,100.00000000000001
Quebradillas,1,1,1.0,100.00000000000001
Aguada,1,1,1.0,100.00000000000001
Trujillo Alto % Gurabo,1,1,1.0,100.00000000000001
Toa Alta,1,1,1.0,100.00000000000001
Yauco,1,1,1.0,100.00000000000001
Barrio Pueblo,1,1,1.0,100.00000000000001
Arroyo,1,1,1.0,100.00000000000001
CAROLINA,1,1,1.0,100.00000000000001
Vieques,1,1,1.0,100.00000000000001
Vega Baja,1,1,1.0,100.00000000000001
Caguas,1,1,1.0,100.00000000000001
Río Grande,1,1,1.0,100.00000000000001
Toa Baja,1,1,1.0,100.00000000000001
Toa Alta % Naranjito,1,1,1.0,100.00000000000001
Guayanilla,1,1,1.0,100.00000000000001
San Juan (Río Piedras),1,1,1.0,100.00000000000001
Aguadilla,1,1,1.0,100.00000000000001
Canóvanas,1,1,1.0,100.00000000000001
Aguas Buenas,1,1,1.0,100.00000000000001
Cataño,1,1,1.0,100.00000000000001
San Germán,1,1,1.0,100.00000000000001
Salinas,1,1,1.0,100.00000000000001
Fajardo,2,1,0.8333333333333333,77.22567287784678
Guaynabo,2,1,0.8333333333333333,77.22567287784678
Guayama,2,1,0.8333333333333333,77.22567287784678
Guanica Municipio,2,1,0.8333333333333333,77.22567287784678
Florida,2,1,0.8333333333333333,77.22567287784678
Aibonito,2,1,0.8333333333333333,77.22567287784678
10030.2520214,2,1,0.8333333333333333,77.22567287784678
Cabo Rojo,2,1,0.8333333333333333,77.22567287784678
Corozal,2,1,0.8333333333333333,77.22567287784678
Camuy,2,1,0.8333333333333333,77.22567287784678
51409.6922799,2,1,0.8333333333333333,77.22567287784678
Aguada Municipio,2,1,0.8333333333333333,77.22567287784678
Las Marías,2,1,0.8333333333333333,77.22567287784678
Vega Alta,2,1,0.8333333333333333,77.22567287784678
19806.0327097,2,1,0.8333333333333333,77.22567287784678
Rincón,2,1,0.8333333333333333,77.22567287784678
San Lorenzo,2,1,0.8333333333333333,77.22567287784678
Orocovis,2,1,0.8333333333333333,77.22567287784678
Naranjito Municipio,2,1,0.8333333333333333,77.22567287784678
Gurabo,2,1,0.8333333333333333,77.22567287784678
Naguabo Municipio,2,1,0.8333333333333333,77.22567287784678
15256.7255214,2,1,0.8333333333333333,77.22567287784678
Moca Municipio,2,1,0.8333333333333333,77.22567287784678
San Sebastián,2,1,0.8333333333333333,77.22567287784678
Manatí,2,1,0.8333333333333333,77.22567287784678
Las Piedras,2,1,0.8333333333333333,77.22567287784678
Lares,2,1,0.8333333333333333,77.22567287784678
Jayuya,2,1,0.8333333333333333,77.22567287784678
Isabela,2,1,0.8333333333333333,77.22567287784678
Humacao,2,1,0.8333333333333333,77.22567287784678
Yabucoa,2,1,0.8333333333333333,77.22567287784678
Sabana Grande,2,1,0.8333333333333333,77.22567287784678
20374.5016767,3,1,0.75,65.83850931677019
Trujillo Alto Municipio,3,1,0.75,65.83850931677019
Utuado,3,1,0.75,65.83850931677019
27522.2311921,3,1,0.75,65.83850931677019
Penuelas Municipio,3,1,0.75,65.83850931677019
Cidra Municipio,3,1,0.75,65.83850931677019
Maricao,3,1,0.75,65.83850931677019
30622.89752,3,1,0.75,65.83850931677019
Vieques Municipio,3,1,0.75,65.83850931677019
Morovis Municipio,3,1,0.75,65.83850931677019
Guayanilla Municipio,4,1,0.7,59.00621118012422
Las Marias Municipio,4,1,0.7,59.00621118012422
Hormigueros Municipio,4,1,0.7,59.00621118012422
Ceiba Municipio,4,1,0.7,59.00621118012422
Yauco Municipio,4,1,0.7,59.00621118012422
28040.0233402,4,1,0.7,59.00621118012422
Aibonito Municipio,4,1,0.7,59.00621118012422
7462.30205878,4,1,0.7,59.00621118012422
Adjuntas Municipio,4,1,0.7,59.00621118012422
13903.2953614,4,1,0.7,59.00621118012422
Arroyo Municipio,4,1,0.7,59.00621118012422
Bayamón,5,1,0.6666666666666666,54.45134575569357
Comerio Municipio,5,1,0.6666666666666666,54.45134575569357
Cidra,2,2,0.6666666666666666,54.45134575569357
Ponce,2,2,0.6666666666666666,54.45134575569357
Patillas Municipio,5,1,0.6666666666666666,54.45134575569357
Villalba,2,2,0.6666666666666666,54.45134575569357
Cabo Rojo Municipio,5,1,0.6666666666666666,54.45134575569357
Arecibo,2,2,0.6666666666666666,54.45134575569357
33893.9536644,5,1,0.6666666666666666,54.45134575569357
Maunabo Municipio,5,1,0.6666666666666666,54.45134575569357
35048.7077897,6,1,0.6428571428571428,51.197870452528825
Villalba Municipio,6,1,0.6428571428571428,51.197870452528825
Catano Municipio,6,1,0.6428571428571428,51.197870452528825
Toa Alta Municipio,6,1,0.6428571428571428,51.197870452528825
18835.9003213,6,1,0.6428571428571428,51.197870452528825
Florida Municipio,6,1,0.6428571428571428,51.197870452528825
24116.4565173,6,1,0.6428571428571428,51.197870452528825
30300.7601124,7,1,0.625,48.75776397515528
Loiza Municipio,7,1,0.625,48.75776397515528
Jayuya Municipio,7,1,0.625,48.75776397515528
Lajas Municipio,7,1,0.625,48.75776397515528
24529.5007251,7,1,0.625,48.75776397515528
22562.6358875,7,1,0.625,48.75776397515528
Isabela Municipio,7,1,0.625,48.75776397515528
24393.5139183,7,1,0.625,48.75776397515528
23932.1834653,7,1,0.625,48.75776397515528
Ciales Municipio,7,1,0.625,48.75776397515528
19347.6666506,7,1,0.625,48.75776397515528
Anasco Municipio,7,1,0.625,48.75776397515528
7769.0540947,7,1,0.625,48.75776397515528
Yabucoa Municipio,7,1,0.625,48.75776397515528
Aguas Buenas Municipio,7,1,0.625,48.75776397515528
12395.7959632,7,1,0.625,48.75776397515528
Sabana Grande Municipio,8,1,0.6111111111111112,46.85990338164252
18225.1439739,8,1,0.6111111111111112,46.85990338164252
Luquillo Municipio,8,1,0.6111111111111112,46.85990338164252
30621.4351411,8,1,0.6111111111111112,46.85990338164252
34234.6775837,8,1,0.6111111111111112,46.85990338164252
26091.7017583,8,1,0.6111111111111112,46.85990338164252
Las Piedras Municipio,8,1,0.6111111111111112,46.85990338164252
14113.8439459,8,1,0.6111111111111112,46.85990338164252
15418.362047,9,1,0.6,45.3416149068323
25659.6747198,9,1,0.6,45.3416149068323
Vega Baja Municipio,9,1,0.6,45.3416149068323
Coamo Municipio,9,1,0.6,45.3416149068323
21752.6942377,9,1,0.6,45.3416149068323
36400.1717941,9,1,0.6,45.3416149068323
29328.5724794,9,1,0.6,45.3416149068323
Cayey Municipio,9,1,0.6,45.3416149068323
40036.6984536,9,1,0.6,45.3416149068323
43975.9893446,9,1,0.6,45.3416149068323
San Lorenzo Municipio,10,1,0.5909090909090909,44.099378881987576
Salinas Municipio,10,1,0.5909090909090909,44.099378881987576
Barranquitas Municipio,10,1,0.5909090909090909,44.099378881987576
Lares Municipio,10,1,0.5909090909090909,44.099378881987576
Fajardo Municipio,10,1,0.5909090909090909,44.099378881987576
Camuy Municipio,10,1,0.5909090909090909,44.099378881987576
Vega Alta Municipio,10,1,0.5909090909090909,44.099378881987576
Juana Diaz Municipio,10,1,0.5909090909090909,44.099378881987576
Toa Baja Municipio,10,1,0.5909090909090909,44.099378881987576
46965.4865347,10,1,0.5909090909090909,44.099378881987576
27888.5347887,10,1,0.5909090909090909,44.099378881987576
San German Municipio,11,1,0.5833333333333334,43.06418219461698
29342.6798615,11,1,0.5833333333333334,43.06418219461698
Santa Isabel Municipio,11,1,0.5833333333333334,43.06418219461698
35859.2676785,11,1,0.5833333333333334,43.06418219461698
Guayama Municipio,11,1,0.5833333333333334,43.06418219461698
47526.7161196,11,1,0.5833333333333334,43.06418219461698
Aguadilla Municipio,11,1,0.5833333333333334,43.06418219461698
Mayagüez,3,2,0.5833333333333333,43.06418219461697
44228.8496978,12,1,0.5769230769230769,42.18824653607262
Orocovis Municipio,12,1,0.5769230769230769,42.18824653607262
Gurabo Municipio,12,1,0.5769230769230769,42.18824653607262
Quebradillas Municipio,12,1,0.5769230769230769,42.18824653607262
31000.6263682,12,1,0.5769230769230769,42.18824653607262
Canovanas Municipio,12,1,0.5769230769230769,42.18824653607262
Utuado Municipio,12,1,0.5769230769230769,42.18824653607262
Dorado Municipio,12,1,0.5769230769230769,42.18824653607262
18160.329599,13,1,0.5714285714285714,41.4374445430346
39885.8318926,13,1,0.5714285714285714,41.4374445430346
Corozal Municipio,13,1,0.5714285714285714,41.4374445430346
17536.9106657,13,1,0.5714285714285714,41.4374445430346
Rio Grande Municipio,14,1,0.5666666666666667,40.78674948240165
75766.0981609,15,1,0.5625,40.21739130434782
Juncos Municipio,16,1,0.5588235294117647,39.715016441359154
San Sebastian Municipio,16,1,0.5588235294117647,39.715016441359154
3364.87807048,17,1,0.5555555555555556,39.26846100759145
Carolina Municipio,18,1,0.5526315789473684,38.86891140895717
44995.6435533,18,1,0.5526315789473684,38.86891140895717
Manati Municipio,18,1,0.5526315789473684,38.86891140895717
Hatillo Municipio,18,1,0.5526315789473684,38.86891140895717
Barceloneta Municipio,19,1,0.55,38.509316770186345
Bayamon Municipio,19,1,0.55,38.509316770186345
29501.5215113,19,1,0.55,38.509316770186345
15475.2707954,20,1,0.5476190476190477,38.18396923986987
30701.4427349,20,1,0.5476190476190477,38.18396923986987
Guaynabo Municipio,20,1,0.5476190476190477,38.18396923986987
Humacao Municipio,21,1,0.5454545454545454,37.888198757763966
24098.2419881,23,1,0.5416666666666666,37.370600414078666
43235.9301474,23,1,0.5416666666666666,37.370600414078666
Mayaguez Municipio,25,1,0.5384615384615384,36.9326325848065
22364.7364974,26,1,0.537037037037037,36.73798021624108
24026.0725528,27,1,0.5357142857142857,36.557231588287486
22578.2114358,4,2,0.5333333333333333,36.231884057971016
18242.7763844,4,2,0.5333333333333333,36.231884057971016
Caguas Municipio,30,1,0.532258064516129,36.08495291524744
Arecibo Municipio,30,1,0.532258064516129,36.08495291524744
77022.6804736,40,1,0.524390243902439,35.009846992879865
Ponce Municipio,41,1,0.5238095238095238,34.93049393670512
31446.075561,48,1,0.5204081632653061,34.46571175053873
83587.6360133,53,1,0.5185185185185185,34.20749942489073
San Juan Municipio,114,1,0.508695652173913,32.865244396435315
Barceloneta,5,2,0.5,31.67701863354037
34083.4837682,5,2,0.5,31.67701863354037
San Juan,6,2,0.47619047619047616,28.423543330375622
36494.1134636,8,2,0.4444444444444444,24.085576259489297
20638.0447759,10,2,0.4242424242424242,21.325051759834363
40068.7293855,11,2,0.41666666666666663,20.289855072463762
42018.630966,12,2,0.41025641025641024,19.413919413919412
40621.0769063,12,2,0.41025641025641024,19.413919413919412
18660.393595,14,2,0.39999999999999997,18.012422360248443
46151.8149285,17,2,0.38888888888888884,16.494133885438227
19992.9225782,21,2,0.3787878787878788,15.113871635610764
51295.4996898,22,2,0.37681159420289856,14.843820325861914
29621.4797698,27,2,0.369047619047619,13.782904466134275
38894.9538602,35,2,0.3611111111111111,12.698412698412698
,1777,2,0.33389576302962126,8.97954525870601
Carolina,12,3,0.3269230769230769,8.02675585284281
18200.5028248,31,3,0.28125,1.785714285714285
32562.1109384,54,3,0.2681818181818182,0.0
