target_source_id,target_agency,jurisdiction,record_type,statute,priority,rationale,request_status
hud_drgr_authorized,U.S. Department of Housing and Urban Development,US,CDBG-DR grantee drawdown and DRGR activity records,5 U.S.C. 552 (FOIA),P0,Required source not materialized; credentialed DRGR portal export is unavailable in-sandbox — request the authorized grantee drawdown dataset.,submitted
prasa,Puerto Rico Aqueduct and Sewer Authority (PRASA),PR,Procurement and contract award records,PR Ley 141-2019,P0,Required source not materialized; PRASA delivers exported procurement files only via dropzone — request the procurement/contract registry directly.,submitted
oficina_contralor,Office of the Comptroller of Puerto Rico (OCPR),PR,Audit reports findings and contract registry,PR Ley 141-2019,P0,Required source not materialized; OCPR audit findings and the consultacontratos contract registry need a records request / dedicated export.,submitted
cor3,PR Central Office for Recovery Reconstruction and Resiliency (COR3),PR,Disaster-recovery project tracker dataset,PR Ley 141-2019,P0,Required source not materialized; request the full COR3 project tracker dataset to verify recovery-obligation coverage.,submitted
fsrs_subawards,U.S. General Services Administration (FSRS),US,FSRS prime-to-subaward reporting extract,5 U.S.C. 552 (FOIA),P0,Required source not materialized; request the complete FSRS subaward extract to join against the USAspending subaward stream.,submitted
sam_entities,U.S. General Services Administration (SAM.gov),US,SAM entity registration and UEI parent-hierarchy extract,5 U.S.C. 552 (FOIA),P0,Required source not materialized; SAM API is key-gated and rate-limited — request a bulk SAM entity / parent-UEI extract.,submitted
pr_cabilderos,Puerto Rico Office of Government Ethics (OEG),PR,Registered lobbyist (cabildero) filings,PR Ley 141-2019,P1,Required source not materialized; OEG cabildero registry is delivered only via dropzone — request the full lobbyist filing registry.,submitted
donaciones_pr,Puerto Rico State Elections Commission (CEE),PR,Campaign and political donation registry,PR Ley 141-2019,P1,Campaign-finance gate is blocked with no in-repo donor source; request the CEE state-level donation registry to unblock contractor-donor overlap.,submitted
compras_pr,Puerto Rico General Services Administration (compras.pr.gov),PR,RFP and contract award notices,PR Ley 141-2019,P1,Source not materialized; comprashpr.com scrape is incomplete — request bulk RFP/award notice records.,submitted
act_toll_revenue,Autoridad de Carreteras y Transportacion (ACT),PR,Toll revenue by plaza and fiscal year (AutoExpreso and Metropistas PR-22/PR-5),PR Ley 141-2019,P1,Only aggregate published toll revenue is available; request finer per-plaza/per-route breakdowns to attribute infrastructure income.,submitted
transit_fare_revenue,Autoridad Metropolitana de Autobuses (AMA),PR,Farebox revenue by route and fiscal year for AMA buses and Tren Urbano (ATI),PR Ley 141-2019,P2,Aggregate farebox figures only; request route-level fare revenue to localize transit income.,submitted
ports_airports_revenue,Autoridad de los Puertos de Puerto Rico,PR,Wharfage landing and concession fee revenue by facility and fiscal year,PR Ley 141-2019,P2,Aggregate port/airport fee revenue only; request facility-level fee schedules and revenue.,submitted
prasa_rate_revenue,Autoridad de Acueductos y Alcantarillados (PRASA),PR,Water and sewer rate revenue and approved tariff schedules by fiscal year,PR Ley 141-2019,P2,Aggregate rate revenue only; request the tariff schedule and revenue-by-class breakdown.,submitted
prepa_luma_rate_revenue,Autoridad de Energia Electrica (PREPA) / LUMA Energy,PR,Electric rate revenue and approved tariff schedules by fiscal year,PR Ley 141-2019,P2,Aggregate power rate revenue only; request rate-case revenue requirements and revenue-by-class breakdown.,submitted
dtop_road_contracts,Departamento de Transportacion y Obras Publicas (DTOP/ACT),PR,Road construction and maintenance contract registry (rolling),PR Ley 141-2019,P1,Only the 2020 transition snapshot is on hand; request the rolling DTOP/ACT permanent-road contract registry (OCPR code 032).,submitted
ports_airports_contracts,Autoridad de los Puertos de Puerto Rico,PR,Port and airport construction and operating contract registry,PR Ley 141-2019,P2,No rolling ports/airports contract source; request the full contract and capital-project registry.,submitted
transit_contracts,Autoridad Metropolitana de Autobuses (AMA),PR,Bus and urban-rail operating and O&M contract registry,PR Ley 141-2019,P2,No transit operating-contract source; request AMA and Tren Urbano (ATI) operator and O&M contracts.,submitted
