retry_rank,priority,expected_input,source_family,primary_blocker_class,retry_attempted,retry_status,disposition,next_action
1,8,data/staging/processed/pr_slfrf_master.csv,slfrf,schema_mismatch,True,success,fixed_and_retried,ready_for_master_rebuild_gate
2,10,data/staging/processed/pr_dot_master.csv,federal_sectoral_dot,schema_mismatch,True,success,fixed_and_retried,ready_for_master_rebuild_gate
3,11,data/staging/processed/pr_usda_master.csv,federal_sectoral_usda,schema_mismatch,True,success,fixed_and_retried,ready_for_master_rebuild_gate
4,12,data/staging/processed/pr_doe_master.csv,federal_sectoral_doe,schema_mismatch,True,success,fixed_and_retried,ready_for_master_rebuild_gate
5,13,data/staging/processed/pr_hud_master.csv,hud_cdbg,schema_mismatch,True,success,fixed_and_retried,ready_for_master_rebuild_gate
6,15,data/staging/processed/pr_epa_master.csv,federal_sectoral_epa,schema_mismatch,True,success,fixed_and_retried,ready_for_master_rebuild_gate
7,17,data/staging/processed/pr_wioa_grants.csv,federal_sectoral_wioa,schema_mismatch,True,success,fixed_and_retried,ready_for_master_rebuild_gate
8,3,data/staging/processed/pr_subawards_master.csv,fsrs_subawards,producer_exception,True,failed_command,manual_fallback_remaining,manual_fallback_required
9,7,data/staging/processed/pr_sba_loans_master.csv,sba_loans,producer_exception,True,failed_no_data,manual_fallback_remaining,manual_fallback_required
10,14,data/staging/processed/pr_sbir_master.csv,federal_sectoral_sbir,producer_exception,True,failed_no_data,manual_fallback_remaining,manual_fallback_required
11,16,data/staging/processed/pr_usace_civil_master.csv,federal_sectoral_usace,producer_exception,True,failed_command,manual_fallback_remaining,manual_fallback_required
12,2,data/staging/processed/pr_grants_master.csv,usaspending_federal_awards_backbone,endpoint_unavailable,False,not_retried_endpoint_unavailable,manual_fallback_remaining,manual_fallback_required
13,4,data/staging/processed/pr_fema_pa_master.csv,fema_pa_hmgp,endpoint_unavailable,False,not_retried_endpoint_unavailable,manual_fallback_remaining,manual_fallback_required
14,5,data/staging/processed/pr_fema_hmgp_master.csv,fema_pa_hmgp,endpoint_unavailable,False,not_retried_endpoint_unavailable,manual_fallback_remaining,manual_fallback_required
15,6,data/staging/processed/pr_research_master.csv,federal_research,endpoint_unavailable,False,not_retried_endpoint_unavailable,manual_fallback_remaining,manual_fallback_required
16,9,data/staging/processed/pr_cdbg_dr_master.csv,hud_cdbg,endpoint_unavailable,False,not_retried_endpoint_unavailable,manual_fallback_remaining,manual_fallback_required
17,18,data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_federal_awards_backbone,endpoint_unavailable,False,not_retried_endpoint_unavailable,manual_fallback_remaining,manual_fallback_required
18,19,data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_federal_awards_backbone,endpoint_unavailable,False,not_retried_endpoint_unavailable,manual_fallback_remaining,manual_fallback_required
19,20,data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_federal_awards_backbone,endpoint_unavailable,False,not_retried_endpoint_unavailable,manual_fallback_remaining,manual_fallback_required
20,21,data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_federal_awards_backbone,endpoint_unavailable,False,not_retried_endpoint_unavailable,manual_fallback_remaining,manual_fallback_required
21,1,data/staging/processed/pr_contracts_master.csv,usaspending_federal_awards_backbone,no_data,True,failed_no_data,manual_fallback_remaining,manual_fallback_required
